Airport ID,IATA,Latitude,Longitude
3682,ATL,33.6367,-84.428101
3484,LAX,33.94250107,-118.40799709999999
3830,ORD,41.9786,-87.9048
3670,DFW,32.896801,-97.038002
3751,DEN,39.861698150635,-104.672996521
3797,JFK,40.63980103,-73.77890015
3469,SFO,37.61899948120117,-122.375
3577,SEA,47.449001,-122.308998
3878,MCO,28.429399490356445,-81.30899810791016
3877,LAS,36.08010101,-115.15200039999999
3876,CLT,35.2140007019043,-80.94309997558594
3494,EWR,40.69250106811523,-74.168701171875
3462,PHX,33.43429946899414,-112.01200103759766
3550,IAH,29.98439979553223,-95.34140014648438
3576,MIA,25.79319953918457,-80.29060363769531
3448,BOS,42.36429977,-71.00520325
3858,MSP,44.882,-93.221802
3645,DTW,42.212398529052734,-83.35340118408203
3533,FLL,26.072599,-80.152702
3752,PHL,39.87189865112305,-75.24109649658203
3697,LGA,40.77719879,-73.87259674
3849,BWI,39.1754,-76.668297
3536,SLC,40.78839874267578,-111.97799682617188
3731,SAN,32.7336006165,-117.190002441
3714,IAD,38.94449997,-77.45580292
3520,DCA,38.8521,-77.037697
3646,TPA,27.975500106811523,-82.533203125
3747,MDW,41.785999,-87.752403
3728,HNL,21.32062,-157.924228
3720,PDX,45.58869934,-122.59799960000001
3690,BNA,36.1245002746582,-86.6781997680664
3673,AUS,30.194499969482425,-97.6698989868164
3502,DAL,32.847099,-96.851799
3678,STL,38.748697,-90.370003
3748,SJC,37.362598,-121.929001
3566,HOU,29.64539909,-95.27890015
3626,RDU,35.877601623535156,-78.7874984741211
3861,MSY,29.99340057373047,-90.25800323486328
3453,OAK,37.721298,-122.221001
3817,SMF,38.69540023803711,-121.59100341796876
3458,MCI,39.2976,-94.713898
3867,SNA,33.67570114,-117.86799620000001
3793,RSW,26.53619956970215,-81.75520324707031
3621,SAT,29.533700942993164,-98.46980285644531
3486,CLE,41.411701202399996,-81.8498001099
3585,IND,39.7173,-86.294403
3570,PIT,40.49150085,-80.23290253
2890,SJU,18.4393997192,-66.0018005371
3488,CVG,39.0488014221,-84.6678009033
3759,CMH,39.998001,-82.891899
